"cell_genes"	"cell_type"	"k"
"BAIAP3"	"Ciliated"	"Cluster 2"
"GAS8"	"Ciliated"	"Cluster 2"
"FTH1"	"Ciliated"	"Cluster 2"
"GSTA2"	"Ciliated"	"Cluster 2"
"SMPD2"	"Ciliated"	"Cluster 2"
"DYNC2LI1"	"Ciliated"	"Cluster 2"
"SSB"	"Ciliated"	"Cluster 2"
"RIBC2"	"Ciliated"	"Cluster 2"
"TMEM45B"	"Ciliated"	"Cluster 2"
"FAM104B"	"Ciliated"	"Cluster 2"
"NWD1"	"Ciliated"	"Cluster 2"
"DUSP18"	"Ciliated"	"Cluster 2"
"IQCE"	"Ciliated"	"Cluster 2"
"RPGR"	"Ciliated"	"Cluster 2"
"RBKS"	"Ciliated"	"Cluster 2"
"KNDC1"	"Ciliated"	"Cluster 2"
"VNN3"	"Ciliated"	"Cluster 2"
"CEP290"	"Ciliated"	"Cluster 2"
"UCP2"	"Ciliated"	"Cluster 2"
"FDXR"	"Ciliated"	"Cluster 2"
"RSPH14"	"Ciliated"	"Cluster 2"
"WDR49"	"Ciliated"	"Cluster 2"
"SHROOM3"	"Ciliated"	"Cluster 2"
"GIPR"	"Ciliated"	"Cluster 2"
"ENKD1"	"Ciliated"	"Cluster 2"
"CD24"	"Ciliated"	"Cluster 2"
"NME7"	"Ciliated"	"Cluster 2"
"MORN1"	"Ciliated"	"Cluster 2"
"NELFE"	"Ciliated"	"Cluster 2"
"HN1L"	"Ciliated"	"Cluster 2"
"CCDC34"	"Ciliated"	"Cluster 2"
"RBM38"	"Ciliated"	"Cluster 2"
"HNRNPF"	"Ciliated"	"Cluster 2"
"PIP"	"Ciliated"	"Cluster 2"
"LRRC49"	"Ciliated"	"Cluster 2"
"TSPAN3"	"Ciliated"	"Cluster 2"
"TSPAN6"	"Ciliated"	"Cluster 2"
"CCNA1"	"Ciliated"	"Cluster 2"
"PPAP2C"	"Ciliated"	"Cluster 2"
"SYNE2"	"Ciliated"	"Cluster 2"
"UNC93B1"	"Ciliated"	"Cluster 2"
"CBY1"	"Ciliated"	"Cluster 2"
"MRPL23"	"Ciliated"	"Cluster 2"
"TEX9"	"Ciliated"	"Cluster 2"
"NRAV"	"Ciliated"	"Cluster 2"
"TRIP13"	"Ciliated"	"Cluster 2"
"PPP1R16A"	"Ciliated"	"Cluster 2"
"ICA1L"	"Ciliated"	"Cluster 2"
"ENAH"	"Ciliated"	"Cluster 2"
"CCDC88C"	"Ciliated"	"Cluster 2"
"PLEKHB1"	"Ciliated"	"Cluster 2"
"MAK"	"Ciliated"	"Cluster 2"
"C19orf70"	"Ciliated"	"Cluster 2"
"NEK1"	"Ciliated"	"Cluster 2"
"CELF1"	"Ciliated"	"Cluster 2"
"CLIC1"	"Ciliated"	"Cluster 2"
"ANKRD54"	"Ciliated"	"Cluster 2"
"FBXO36"	"Ciliated"	"Cluster 2"
"ZNHIT2"	"Ciliated"	"Cluster 2"
"CYB561"	"Ciliated"	"Cluster 2"
"MORF4L2"	"Ciliated"	"Cluster 2"
"LRP11"	"Ciliated"	"Cluster 2"
"SERPINB6"	"Ciliated"	"Cluster 2"
"SMIM5"	"Ciliated"	"Cluster 2"
"JOSD2"	"Ciliated"	"Cluster 2"
"TJP3"	"Ciliated"	"Cluster 2"
"AKNA"	"Ciliated"	"Cluster 2"
"FBXW9"	"Ciliated"	"Cluster 2"
"NAT14"	"Ciliated"	"Cluster 2"
"PRSS12"	"Ciliated"	"Cluster 2"
"FAIM"	"Ciliated"	"Cluster 2"
"SYNE1"	"Ciliated"	"Cluster 2"
"PAPOLA"	"Ciliated"	"Cluster 2"
"PPOX"	"Ciliated"	"Cluster 2"
"RHPN1"	"Ciliated"	"Cluster 2"
"ZNF688"	"Ciliated"	"Cluster 2"
"TMF1"	"Ciliated"	"Cluster 2"
"LRRC4"	"Ciliated"	"Cluster 2"
"RRAD"	"Ciliated"	"Cluster 2"
"ZC2HC1A"	"Ciliated"	"Cluster 2"
"CFDP1"	"Ciliated"	"Cluster 2"
"GOLGA2P7"	"Ciliated"	"Cluster 2"
"WRAP53"	"Ciliated"	"Cluster 2"
"ALOX15"	"Ciliated"	"Cluster 2"
"TP73"	"Ciliated"	"Cluster 2"
"C5orf45"	"Ciliated"	"Cluster 2"
"PRKAR1A"	"Ciliated"	"Cluster 2"
"MPDZ"	"Ciliated"	"Cluster 2"
"LRRC45"	"Ciliated"	"Cluster 2"
"VPS35"	"Ciliated"	"Cluster 2"
"IFT140"	"Ciliated"	"Cluster 2"
"PCYT2"	"Ciliated"	"Cluster 2"
