set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
S100A11	9	10	13	14	11	11	12	11	10	11	11	10	10	11	11	10	16	14	9
S100A12	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	5	16	5	3
S100A13	5	5	7	9	5	5	5	5	5	5	5	5	5	5	5	5	16	9	5
S100A14	8	9	9	11	8	9	7	7	9	9	8	8	8	9	7	8	16	11	7
S100A16	6	7	7	9	6	6	7	6	5	6	6	7	7	7	6	6	16	9	5
S100A2	3	3	3	4	3	4	3	3	3	3	3	4	4	3	3	4	16	4	3
S100A3	2	1	1	2	1	1	1	1	1	1	NA	1	1	1	1	1	15	2	1
S100A4	7	7	6	6	7	7	7	6	7	7	8	6	7	7	6	7	16	8	6
S100A6	8	6	13	14	9	9	7	9	12	9	11	10	9	10	8	9	16	14	6
S100A7	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	16	3	2
S100A7A	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	11	1	0
S100A8	13	13	14	13	13	15	13	15	14	15	14	14	12	15	14	13	16	15	12
S100A9	11	13	14	14	12	10	11	12	14	11	12	12	11	12	12	13	16	14	10
S100B	5	2	3	3	4	3	2	2	2	2	4	3	2	2	3	3	16	5	2
S100P	10	11	13	12	8	5	5	6	9	6	6	7	9	7	5	6	16	13	5
S100PBP	4	3	3	7	2	5	3	5	4	7	5	6	2	3	3	5	16	7	2
S1PR1	2	1	1	1	1	NA	1	NA	1	1	1	3	NA	1	1	NA	12	3	1
S1PR2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	16	2	1
S1PR3	1	NA	NA	NA	NA	NA	1	1	1	1	NA	2	NA	2	1	2	9	2	1
S1PR4	1	1	2	1	1	1	1	1	1	2	1	1	NA	2	2	2	15	2	1
SAA1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	1	0
SAA2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0
SAAL1	15	15	17	15	13	14	15	15	16	18	14	16	14	15	14	14	16	18	13
SAC3D1	3	1	4	NA	NA	1	NA	4	1	1	3	2	2	3	4	1	13	4	1
SACM1L	28	25	27	29	28	26	28	27	29	27	29	25	26	26	25	28	16	29	25
SACS	56	21	28	32	25	55	19	54	32	40	33	33	31	35	31	51	16	56	19
SAE1	29	30	35	36	28	32	30	28	32	33	27	29	29	29	29	29	16	36	27
SAFB	32	36	41	42	32	37	35	40	34	34	33	28	35	35	26	34	16	42	26
SAFB2	22	21	27	22	16	19	19	18	21	16	20	19	19	20	17	18	16	27	16
SAG	1	NA	1	NA	1	2	1	NA	2	2	1	2	1	2	2	2	13	2	1
SAGE1	3	1	NA	1	NA	5	5	1	1	NA	NA	NA	NA	NA	1	NA	8	5	1
SALL1	NA	NA	NA	1	0	1	0	NA	1	2	1	1	0	1	NA	NA	7	2	0
SALL2	3	4	4	3	2	9	5	2	2	6	4	3	4	4	7	3	16	9	2
SALL3	1	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	2	NA	2	2	0
SALL4	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	1	0	NA	1	2	1	0
SAMD1	7	6	8	8	6	6	7	6	6	7	5	7	7	6	7	8	16	8	5
SAMD11	2	2	2	1	3	1	2	1	2	1	1	1	2	1	1	1	16	3	1
SAMD12	2	2	2	3	3	3	3	3	3	3	3	2	4	3	2	3	16	4	2
SAMD15	1	NA	1	1	NA	NA	NA	NA	1	NA	4	NA	NA	1	NA	NA	6	4	1
SAMD4A	9	6	7	6	5	6	5	8	8	6	8	8	6	6	10	9	16	10	5
SAMD4B	16	14	13	13	10	16	14	11	14	15	16	13	14	11	13	14	16	16	10
SAMD8	3	2	2	2	3	2	2	2	3	2	2	2	3	2	2	4	16	4	2
SAMD9	54	52	52	63	47	50	48	57	45	55	52	53	45	56	52	63	16	63	45
SAMD9L	52	47	57	51	47	49	51	59	51	59	59	58	44	55	57	64	16	64	44
SAMHD1	57	57	58	62	53	59	57	56	55	63	62	61	60	59	60	60	16	63	53
SAMM50	25	27	25	27	24	22	24	24	21	28	24	25	25	22	24	27	16	28	21
SAMSN1	20	16	17	18	15	15	17	18	18	18	16	17	15	13	17	18	16	20	13
SAP130	12	12	11	13	8	15	10	13	13	14	13	11	11	11	17	9	16	17	8
SAP18	11	11	15	15	11	13	10	14	12	13	15	12	11	16	12	13	16	16	10
SAP30	4	3	3	4	2	4	3	3	3	4	3	3	4	3	4	4	16	4	2
SAP30BP	13	12	14	11	12	12	12	13	13	14	9	12	14	13	14	13	16	14	9
SAP30L	2	1	1	1	1	2	2	2	1	3	2	3	3	2	3	3	16	3	1
SAPCD2	3	3	2	2	4	5	5	4	NA	5	2	5	NA	1	4	2	14	5	1
SAR1A	9	14	17	16	14	13	15	12	14	17	17	18	14	16	16	18	16	18	9
SAR1B	8	8	11	11	8	10	11	10	11	9	8	7	9	9	9	11	16	11	7
SARAF	5	4	3	4	5	4	5	5	10	4	6	7	4	5	6	8	16	10	3
SARDH	14	20	18	24	23	32	25	20	20	14	13	28	18	16	14	27	16	32	13
SARM1	24	12	18	22	20	22	25	21	20	22	19	18	16	21	21	20	16	25	12
SARS	37	39	55	53	36	44	35	36	32	43	39	39	37	40	39	39	16	55	32
SARS2	4	4	4	4	3	4	5	4	4	5	4	4	5	5	4	5	16	5	3
SART1	51	48	52	57	52	50	50	49	47	55	50	42	49	54	52	48	16	57	42
SART3	64	59	74	74	55	61	63	65	59	65	62	57	63	66	66	69	16	74	55
SASH1	29	27	24	29	28	31	20	32	21	31	26	24	27	31	28	21	16	32	20
SASH3	18	18	19	17	16	17	16	17	18	18	15	17	15	17	15	17	16	19	15
SASS6	10	7	7	8	1	6	7	7	3	8	7	6	5	9	7	4	16	10	1
SAT1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	4	1	1
SAT2	8	6	8	7	6	7	8	7	8	8	7	7	7	9	7	8	16	9	6
SATB1	2	2	5	7	3	9	4	3	2	1	2	3	2	3	2	4	16	9	1
SATB2	4	2	1	5	4	2	4	NA	1	7	1	0	1	0	1	0	12	7	0
SAV1	9	11	8	8	10	8	9	7	8	8	9	9	7	8	9	8	16	11	7
SAXO2	2	NA	NA	NA	3	1	3	1	4	1	8	NA	NA	NA	1	NA	9	8	1
SAYSD1	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	4	2	1
SBDS	17	19	23	26	19	18	18	18	16	18	16	17	18	18	18	17	16	26	16
SBF1	51	47	47	50	47	49	49	42	50	44	46	49	47	48	45	53	16	53	42
SBF2	36	37	39	37	34	35	37	32	37	40	32	34	32	35	36	36	16	40	32
SBK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1
SBK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1
SBNO1	25	27	27	28	20	24	29	25	25	27	23	18	25	23	32	33	16	33	18
SBNO2	7	8	10	8	9	9	6	7	8	7	7	7	6	9	10	9	16	10	6
SBSN	8	2	1	5	4	6	2	18	3	1	1	4	11	2	2	5	16	18	1
SBSPON	9	9	8	9	8	9	9	9	8	8	8	7	7	9	7	8	16	9	7
SC5D	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	16	3	2
SCAF1	13	7	10	9	8	12	9	10	8	10	9	7	11	10	11	11	16	13	7
SCAF11	30	24	22	33	24	27	27	26	24	23	22	24	28	24	27	27	16	33	22
SCAF4	23	21	22	24	19	20	20	20	21	18	20	22	20	18	20	20	16	24	18
SCAF8	25	17	23	26	19	24	19	17	20	24	24	18	19	22	22	20	16	26	17
SCAI	14	10	11	14	14	15	13	12	16	17	13	14	14	17	18	18	16	18	10
SCAMP1	13	13	9	9	10	11	13	15	10	9	8	12	11	12	9	12	16	15	8
SCAMP2	6	7	7	7	6	7	6	7	6	7	7	7	8	7	7	7	16	8	6
SCAMP3	18	16	17	16	18	16	14	17	17	16	13	19	13	15	16	17	16	19	13
SCAMP4	3	4	4	3	4	4	5	5	5	4	4	5	4	5	2	4	16	5	2
SCAMP5	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	16	2	1
SCAND1	2	NA	NA	1	1	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	7	2	1
SCAP	11	9	9	13	7	9	11	10	7	7	5	7	10	7	7	10	16	13	5
SCAPER	21	17	17	15	20	17	18	13	17	12	17	14	19	19	22	13	16	22	12
SCARA3	4	6	5	5	5	3	5	5	5	4	4	4	4	4	2	4	16	6	2
SCARA5	2	NA	4	9	6	2	7	2	4	2	5	3	1	1	1	1	15	9	1
SCARB1	9	8	6	5	5	4	7	6	5	8	7	5	4	8	8	11	16	11	4
SCARB2	25	26	27	27	27	25	29	27	28	27	24	26	26	24	25	25	16	29	24
SCARF1	4	NA	2	4	4	4	2	4	3	5	2	2	NA	5	2	4	14	5	2
SCARF2	11	7	7	11	9	9	5	7	6	9	11	7	9	7	8	7	16	11	5
SCART1	1	NA	1	2	1	1	NA	1	NA	2	1	1	NA	1	NA	1	11	2	1
SCCPDH	21	22	23	24	22	22	22	22	22	24	22	22	23	23	22	19	16	24	19
SCD	9	6	9	9	6	7	6	5	6	6	6	6	6	5	5	7	16	9	5
SCD5	7	3	6	6	6	7	5	8	5	7	7	7	7	6	6	6	16	8	3
SCEL	33	33	40	34	37	32	44	45	37	29	39	35	36	33	37	40	16	45	29
SCFD1	43	44	45	48	45	42	44	46	44	42	42	45	42	44	38	41	16	48	38
SCFD2	19	17	16	19	19	22	20	22	18	21	17	22	18	20	20	20	16	22	16
SCG2	13	16	1	NA	NA	1	10	1	1	3	15	NA	NA	1	2	NA	11	16	1
SCG3	10	0	0	0	0	2	3	2	0	3	1	0	0	0	6	0	7	10	0
SCGB1A1	1	1	1	1	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	1	8	1	1
SCGB2A1	NA	1	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	1	NA	NA	4	2	1
SCGB3A1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	2	2	2
SCGB3A2	3	5	3	3	4	3	3	2	3	4	4	2	3	4	5	4	16	5	2
SCGN	8	10	9	6	21	6	33	11	15	30	8	6	6	6	12	9	16	33	6
SCIMP	3	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	16	3	1
SCIN	36	39	42	39	40	42	47	42	31	43	44	39	41	30	40	43	16	47	30
SCLT1	5	4	3	9	3	6	1	4	5	6	7	6	4	4	5	7	16	9	1
SCLY	18	19	22	21	22	22	22	16	18	23	21	21	19	22	23	20	16	23	16
SCMH1	1	4	2	2	4	4	3	4	3	9	2	3	3	4	1	2	16	9	1
SCML2	10	10	12	9	4	11	11	6	3	15	4	6	7	12	15	6	16	15	3
SCML4	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	3	1	1
SCN10A	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
SCN11A	NA	NA	1	NA	NA	NA	NA	1	NA	1	2	1	1	NA	NA	2	7	2	1
SCN1B	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
SCN2A	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	5	1	1
SCN2B	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	3	1	1
SCN3A	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	2	0
SCN4B	2	2	1	2	2	2	3	2	1	1	1	2	2	2	1	1	16	3	1
SCN7A	15	21	7	21	24	15	25	18	23	13	11	16	17	12	9	17	16	25	7
SCNM1	4	4	4	3	2	3	2	3	2	3	5	2	2	3	5	2	16	5	2
SCNN1A	1	3	3	1	5	4	NA	8	3	8	4	3	3	3	1	1	15	8	1
SCNN1B	1	2	2	3	2	2	NA	2	2	4	2	1	NA	3	2	5	14	5	1
SCNN1G	NA	1	NA	NA	NA	NA	NA	2	1	NA	1	1	NA	1	1	NA	7	2	1
SCO1	9	10	8	9	6	7	7	11	11	12	9	10	9	9	9	8	16	12	6
SCOC	1	1	2	3	2	2	NA	NA	1	3	3	2	1	1	2	1	14	3	1
SCP2	39	36	37	38	39	39	41	35	40	38	37	35	38	39	37	43	16	43	35
SCPEP1	28	30	28	27	29	30	32	29	31	30	30	29	28	28	29	29	16	32	27
SCRG1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
SCRIB	56	62	70	64	56	60	59	54	60	68	58	59	76	59	67	56	16	76	54
SCRN1	30	28	32	33	30	30	28	27	29	32	30	30	31	31	35	28	16	35	27
SCRN2	15	16	11	10	14	12	12	12	16	13	14	15	14	12	12	14	16	16	10
SCRN3	16	17	18	16	16	15	16	17	17	18	17	18	16	16	17	16	16	18	15
SCUBE1	1	2	1	1	3	1	2	2	2	1	2	0	0	1	1	1	14	3	0
SCUBE2	3	4	4	5	5	2	7	4	2	1	2	3	2	1	5	4	16	7	1
SCUBE3	15	8	10	6	17	11	12	10	9	5	9	11	5	8	9	13	16	17	5
SCYL1	30	38	41	36	34	32	39	38	36	38	35	33	33	33	34	33	16	41	30
SCYL2	44	43	44	44	40	43	42	48	40	46	45	44	43	46	46	45	16	48	40
SCYL3	18	17	16	16	16	14	16	13	17	17	18	16	16	17	18	18	16	18	13
SDAD1	21	15	17	18	19	22	19	18	22	18	20	19	22	16	21	23	16	23	15
SDC1	5	5	8	8	7	6	5	6	6	6	7	5	6	6	6	7	16	8	5
SDC2	10	9	6	7	6	7	6	9	8	6	4	8	8	6	6	8	16	10	4
SDC3	3	1	2	2	2	1	1	2	2	3	2	4	1	2	3	3	16	4	1
SDC4	10	8	8	10	7	9	8	9	9	9	9	10	8	9	8	10	16	10	7
SDCBP	12	14	17	22	15	15	13	18	13	18	13	11	14	15	13	12	16	22	11
SDCBP2	6	4	6	7	5	3	6	6	6	4	5	3	5	2	3	5	16	7	2
SDCCAG3	8	9	8	8	6	7	6	7	6	7	7	7	6	5	6	7	16	9	5
SDCCAG8	17	22	21	20	15	23	17	18	19	24	20	20	22	24	20	20	16	24	15
SDE2	14	14	14	16	12	17	15	16	13	17	17	15	12	14	16	13	16	17	12
SDF2	8	5	7	6	7	4	6	7	6	7	7	6	7	6	6	7	16	8	4
SDF2L1	11	13	12	13	11	11	12	11	12	13	11	12	12	11	11	13	16	13	11
SDF4	21	20	21	22	22	20	19	22	20	18	19	19	23	20	21	19	16	23	18
SDHA	41	40	47	50	44	40	43	41	41	44	41	38	47	43	45	41	16	50	38
SDHAF1	NA	2	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	1	7	2	1
SDHAF3	1	NA	1	1	1	2	1	2	1	1	1	1	1	2	1	2	15	2	1
SDHAF4	2	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	4	2	1
SDHB	26	24	29	27	24	24	20	22	25	23	26	26	29	26	26	29	16	29	20
SDHC	2	3	2	2	2	2	2	2	2	2	2	1	2	3	2	3	16	3	1
SDHD	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	3	2	1
SDK1	23	19	27	20	27	25	26	25	26	22	19	27	22	24	21	24	16	27	19
SDK2	6	1	1	9	7	3	9	9	8	5	4	3	7	3	6	6	16	9	1
SDR16C5	14	15	15	16	15	14	14	15	15	13	12	16	14	16	19	16	16	19	12
SDR39U1	4	5	5	5	6	6	5	4	5	6	6	8	6	4	6	5	16	8	4
SDS	6	8	7	4	4	6	6	4	5	6	6	4	4	5	3	6	16	8	3
SDSL	10	11	15	8	11	9	14	12	9	8	10	10	10	8	10	11	16	15	8
SEC11A	16	15	17	19	16	15	17	14	17	19	15	14	17	15	15	18	16	19	14
SEC11C	12	12	16	12	11	13	16	14	14	14	13	13	11	12	12	17	16	17	11
SEC13	14	18	18	16	15	14	18	19	17	19	17	14	16	16	17	18	16	19	14
SEC14L1	20	19	22	20	17	18	15	20	16	20	18	18	18	21	16	19	16	22	15
SEC14L2	8	7	6	8	5	5	8	5	7	9	8	7	8	8	8	9	16	9	5
SEC14L3	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4	4	0
SEC14L4	6	6	6	3	7	7	10	5	8	6	5	6	7	6	5	5	16	10	3
SEC14L6	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0
SEC16A	65	64	78	63	71	75	67	61	65	74	76	65	68	64	70	68	16	78	61
SEC16B	NA	2	NA	1	NA	NA	1	NA	1	1	2	1	NA	1	1	2	10	2	1
SEC22A	8	14	14	12	9	10	12	15	12	13	11	10	11	6	9	10	16	15	6
SEC22B	18	18	22	23	19	16	17	17	18	19	18	18	18	17	16	20	16	23	16
SEC22C	1	1	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	5	1	1
SEC23A	46	48	46	47	42	45	45	44	45	40	43	46	44	47	44	41	16	48	40
SEC23B	46	44	50	49	44	48	46	45	47	47	46	46	46	45	46	43	16	50	43
SEC23IP	43	42	44	43	44	42	45	45	45	46	43	41	45	44	41	45	16	46	41
SEC24A	27	28	28	28	27	23	26	26	25	25	26	25	27	31	30	30	16	31	23
SEC24B	25	29	27	27	27	28	27	27	26	27	26	29	29	28	24	30	16	30	24
SEC24C	50	54	54	53	47	51	50	51	59	57	51	51	54	50	52	53	16	59	47
SEC24D	43	48	46	42	39	45	46	47	47	47	45	46	47	48	45	47	16	48	39
SEC31A	53	59	63	67	52	56	57	56	52	61	57	52	54	54	59	60	16	67	52
SEC61A1	11	12	11	11	10	11	13	13	13	12	10	10	11	11	8	11	16	13	8
SEC61A2	1	0	3	2	0	1	0	0	1	1	2	0	1	0	1	1	10	3	0
SEC61B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1	1
SEC61G	1	1	1	1	NA	1	NA	NA	1	1	1	1	1	1	1	1	13	1	1
SEC62	16	14	18	17	13	13	11	16	14	13	18	15	14	14	16	13	16	18	11
SEC63	50	50	50	54	51	42	43	49	44	46	46	42	47	51	47	51	16	54	42
SECISBP2	10	10	8	9	13	11	9	12	9	11	6	10	10	9	12	10	16	13	6
SECISBP2L	16	14	15	13	12	15	13	13	13	17	14	12	15	16	11	11	16	17	11
SECTM1	1	1	3	2	1	3	3	1	3	2	2	2	3	2	1	3	16	3	1
SEH1L	23	24	21	21	17	20	18	23	22	19	22	20	21	20	21	24	16	24	17
SEL1L	43	40	47	38	38	35	43	42	40	40	40	35	41	32	39	41	16	47	32
SEL1L2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	2
SEL1L3	15	15	19	19	15	17	22	22	15	22	21	16	20	14	16	18	16	22	14
SELE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	2	2
SELENBP1	38	42	37	43	40	36	44	43	40	39	39	40	39	37	38	39	16	44	36
SELENOF	5	6	4	5	5	5	5	5	5	5	5	5	5	5	5	4	16	6	4
SELENOH	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	16	3	2
SELENOI	NA	1	2	1	1	NA	2	NA	1	NA	NA	1	NA	NA	NA	1	8	2	1
SELENOK	2	1	2	1	1	2	1	NA	3	1	2	3	1	3	1	2	15	3	1
SELENOM	3	3	3	3	2	2	1	1	2	2	1	3	3	3	2	2	16	3	1
SELENON	4	4	4	5	3	4	5	3	4	6	4	3	3	4	6	4	16	6	3
SELENOO	13	17	16	16	16	15	16	17	15	19	16	15	14	16	10	16	16	19	10
SELENOP	4	6	6	8	5	6	6	7	7	6	5	6	5	6	4	6	16	8	4
SELENOS	8	7	8	7	8	6	7	5	9	5	7	7	5	8	9	7	16	9	5
SELENOT	8	6	7	8	7	8	8	6	7	9	8	8	8	9	8	8	16	9	6
SELENOW	7	7	7	8	9	7	9	8	9	9	8	7	8	8	8	7	16	9	7
SELL	3	5	5	5	5	6	5	4	5	4	4	3	4	3	3	5	16	6	3
SELP	7	5	6	7	5	7	7	5	8	5	5	6	3	5	2	7	16	8	2
SELPLG	2	3	1	2	1	3	2	3	2	5	1	1	2	4	1	2	16	5	1
SEMA3A	2	4	6	4	2	3	5	5	2	3	4	4	10	4	3	4	16	10	2
SEMA3B	10	6	13	9	12	9	12	14	12	9	6	8	9	7	8	12	16	14	6
SEMA3C	9	15	15	13	14	15	15	11	11	14	10	10	29	12	14	14	16	29	9
SEMA3D	NA	NA	3	NA	NA	NA	2	NA	1	NA	1	2	14	4	1	1	9	14	1
SEMA3E	1	4	NA	1	2	2	NA	NA	1	3	3	2	2	1	2	NA	12	4	1
SEMA3F	NA	NA	1	NA	1	2	2	2	1	1	1	1	2	4	2	1	13	4	1
SEMA3G	1	NA	4	1	1	3	1	4	1	2	1	1	2	2	1	NA	14	4	1
SEMA4A	12	14	13	13	10	10	10	10	12	10	8	14	11	10	11	11	16	14	8
SEMA4B	15	19	21	18	15	14	16	16	21	21	25	17	13	20	19	21	16	25	13
SEMA4C	12	10	12	13	14	12	12	13	14	15	18	23	13	13	13	14	16	23	10
SEMA4D	15	17	20	18	15	19	14	19	16	18	19	20	14	16	14	18	16	20	14
SEMA4F	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	6	1	1
SEMA4G	2	1	3	NA	7	1	3	1	NA	1	2	NA	1	2	1	2	13	7	1
SEMA5A	0	0	0	1	1	4	3	2	NA	1	0	0	1	0	2	NA	8	4	0
SEMA5B	1	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	1	1	4	1	0
SEMA6A	NA	NA	1	NA	NA	1	NA	0	NA	1	NA	1	2	NA	NA	NA	5	2	0
SEMA6B	1	1	2	2	NA	2	2	3	NA	2	3	2	NA	4	1	1	13	4	1
SEMA6C	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	1	1	NA	4	2	1
SEMA6D	1	NA	NA	2	2	NA	NA	0	NA	1	NA	NA	1	NA	1	NA	6	2	0
SEMA7A	10	8	12	11	11	12	12	13	11	13	9	8	11	9	14	11	16	14	8
SEMG1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
SENP1	10	11	13	13	10	15	16	13	13	13	13	10	12	12	12	14	16	16	10
SENP2	11	9	4	8	9	8	11	8	7	6	5	7	9	12	11	14	16	14	4
SENP3	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	16	2	1
SENP5	1	2	1	1	5	3	NA	2	1	3	4	3	5	2	1	4	15	5	1
SENP6	20	17	19	19	17	20	13	17	16	20	17	19	15	16	17	14	16	20	13
SENP7	12	13	12	11	9	17	16	14	16	15	9	12	12	10	11	9	16	17	9
SENP8	5	4	4	4	3	4	4	4	4	4	3	5	5	3	3	4	16	5	3
SEPHS1	20	20	23	21	21	22	21	20	18	24	21	21	21	19	21	21	16	24	18
SEPHS2	13	10	10	10	12	11	15	8	12	12	10	13	15	14	15	8	16	15	8
SEPSECS	15	17	19	17	15	16	17	16	16	16	17	16	12	13	16	12	16	19	12
SEPT1	21	19	24	21	15	18	15	19	21	16	17	19	16	18	15	18	16	24	15
SEPT10	33	32	37	35	32	35	36	34	35	33	35	29	36	32	35	34	16	37	29
SEPT11	11	11	12	14	11	10	11	11	11	11	10	12	9	11	8	11	16	14	8
SEPT14	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	5	1	0
SEPT2	40	35	36	37	37	36	37	39	36	36	38	35	37	34	37	42	16	42	34
SEPT3	12	11	11	9	10	14	14	13	13	16	10	10	15	10	20	11	16	20	9
SEPT4	17	19	17	17	16	21	17	21	18	15	12	23	15	17	15	17	16	23	12
SEPT5	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	13	1	0
SEPT6	9	9	10	11	11	11	12	11	10	10	12	12	8	10	10	11	16	12	8
SEPT7	40	36	51	57	35	40	40	43	38	40	38	39	39	38	40	38	16	57	35
SEPT8	16	13	16	18	17	16	18	18	18	17	15	18	16	15	15	17	16	18	13
SEPT9	55	52	66	67	55	58	60	53	54	56	55	59	55	54	52	61	16	67	52
SERAC1	7	10	10	12	10	9	10	10	7	15	11	10	11	10	11	11	16	15	7
SERBP1	30	30	38	43	30	30	29	30	29	29	38	29	30	31	30	31	16	43	29
SERF2	3	3	4	3	4	4	4	3	4	4	3	4	3	5	3	3	16	5	3
SERGEF	8	9	9	7	7	7	10	7	9	11	6	8	9	6	9	6	16	11	6
SERINC1	5	5	5	4	5	5	5	5	4	4	5	5	5	4	4	5	16	5	4
SERINC2	NA	1	NA	1	1	1	NA	NA	NA	1	1	1	NA	1	NA	NA	8	1	1
SERINC3	4	5	3	5	2	3	2	4	3	3	3	4	4	5	5	4	16	5	2
SERINC5	4	3	5	4	4	3	4	4	4	4	4	3	3	3	3	3	16	5	3
SERPINA1	35	36	37	40	37	40	35	38	35	39	37	38	37	40	38	40	16	40	35
SERPINA10	16	13	15	9	10	12	10	14	13	15	9	13	11	14	11	14	16	16	9
SERPINA12	1	NA	NA	NA	NA	NA	1	2	NA	1	1	2	1	NA	1	NA	8	2	1
SERPINA3	29	31	35	37	32	29	30	32	30	28	28	30	31	28	31	35	16	37	28
SERPINA4	17	18	16	16	14	16	19	17	15	14	13	15	15	15	18	23	16	23	13
SERPINA5	8	11	13	11	10	11	12	10	11	12	12	11	11	12	11	12	16	13	8
SERPINA6	11	11	10	7	9	9	9	11	12	10	10	10	10	11	11	11	16	12	7
SERPINA7	18	16	18	15	12	17	18	18	18	20	18	15	16	18	20	20	16	20	12
SERPINB1	26	29	32	32	29	29	30	28	31	30	31	31	30	28	29	30	16	32	26
SERPINB10	16	23	17	19	11	11	14	22	18	17	23	20	14	18	15	12	16	23	11
SERPINB12	5	8	2	8	4	5	5	9	5	4	8	5	4	3	4	3	16	9	2
SERPINB13	12	17	8	19	14	10	15	20	19	8	23	16	14	17	10	22	16	23	8
SERPINB2	18	7	5	10	18	7	4	17	6	4	7	8	4	7	4	5	16	18	4
SERPINB3	13	19	10	15	15	17	11	16	13	12	22	10	13	14	9	15	16	22	9
SERPINB4	10	9	6	9	6	8	8	7	6	8	18	10	9	8	7	12	16	18	6
SERPINB5	25	21	22	27	21	22	18	23	25	25	22	20	20	24	23	24	16	27	18
SERPINB6	44	42	40	45	42	39	39	40	43	42	39	41	43	41	39	37	16	45	37
SERPINB7	7	2	2	2	NA	NA	NA	4	NA	2	NA	2	NA	2	1	3	10	7	1
SERPINB8	22	16	18	19	17	18	17	19	20	18	20	17	19	20	17	19	16	22	16
SERPINB9	24	27	25	27	25	26	24	28	26	24	27	25	25	26	24	27	16	28	24
SERPINC1	42	43	49	49	46	45	45	44	46	48	43	47	47	46	47	45	16	49	42
SERPIND1	25	27	26	26	28	27	24	27	30	28	25	26	26	25	26	26	16	30	24
SERPINE1	13	10	9	10	9	10	7	9	12	7	7	9	16	8	13	11	16	16	7
SERPINE2	16	16	15	11	14	14	17	15	13	17	16	16	12	16	15	16	16	17	11
SERPINF1	19	18	24	23	21	20	21	20	22	23	22	19	18	20	19	21	16	24	18
SERPINF2	21	18	19	19	17	18	17	20	19	18	17	19	18	20	18	19	16	21	17
SERPING1	23	23	23	23	19	20	21	22	23	23	24	23	23	26	24	22	16	26	19
SERPINH1	32	37	38	38	34	34	37	40	36	34	39	35	32	34	35	40	16	40	32
SERPINI1	13	8	6	12	14	8	22	7	12	9	9	9	8	21	9	9	16	22	6
