set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
ADGRG6	3	6	5	8	2	1	5	5	4	4	3	6	3	2	9	3	16	9	1
ADGRG7	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	1
ADGRL1	3	1	1	4	2	2	4	2	1	4	4	3	5	2	1	1	16	5	1
ADGRL2	12	11	7	15	13	10	12	18	12	16	14	10	11	17	13	18	16	18	7
ADGRL3	NA	1	NA	5	4	1	NA	5	1	2	NA	4	2	1	NA	NA	10	5	1
ADGRL4	4	4	3	3	2	3	4	5	4	4	5	4	2	4	3	5	16	5	2
ADGRV1	3	5	6	1	1	3	1	1	1	4	2	1	1	1	1	1	16	6	1
ADH1A	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	3	2	0
ADH1B	6	6	7	7	6	6	7	6	7	6	7	7	7	5	6	7	16	7	5
ADH1C	4	7	5	4	5	7	5	4	6	8	8	4	7	5	5	8	16	8	4
ADH4	0	0	3	0	0	1	3	4	0	8	0	2	1	1	1	4	10	8	0
ADH5	22	22	23	23	21	21	22	21	23	24	22	22	21	21	22	22	16	24	21
ADH6	2	NA	4	NA	1	1	3	NA	NA	5	NA	2	NA	NA	2	7	9	7	1
ADH7	12	19	14	17	17	27	16	27	17	14	26	14	25	13	12	22	16	27	12
ADHFE1	4	6	4	5	9	4	4	4	5	6	5	1	11	2	6	4	16	11	1
ADI1	11	16	14	15	14	11	12	12	12	13	16	13	14	13	17	16	16	17	11
